,city,day,temperature,real_feel,humidity
88,Grenoble,2023-04-18,10.2325,9.94,87.75
89,Grenoble,2023-04-19,7.739999999999999,7.739999999999999,94.0
90,Huisnes-sur-Mer,2023-04-14,9.952,7.662000000000001,89.0
91,Huisnes-sur-Mer,2023-04-15,9.1225,6.96125,77.375
92,Huisnes-sur-Mer,2023-04-16,9.74375,8.73375,74.625
93,Huisnes-sur-Mer,2023-04-17,10.59,9.485,83.625
94,Huisnes-sur-Mer,2023-04-18,9.835,7.61875,75.5
95,Huisnes-sur-Mer,2023-04-19,5.9366666666666665,1.9866666666666666,75.66666666666667
96,La Négresse,2023-04-14,12.406,11.946000000000002,86.0
97,La Négresse,2023-04-15,11.80375,11.1975,80.875
98,La Négresse,2023-04-16,10.5825,9.89875,76.125
99,La Négresse,2023-04-17,11.379999999999999,10.74375,74.25
100,La Négresse,2023-04-18,10.78375,10.24625,77.0
101,La Négresse,2023-04-19,10.263333333333334,9.676666666666668,78.66666666666667
102,La Rochelle,2023-04-14,11.952,11.47,86.8
103,La Rochelle,2023-04-15,10.60625,9.092500000000001,78.125
104,La Rochelle,2023-04-16,10.14875,9.0375,75.125
105,La Rochelle,2023-04-17,11.575,10.76375,75.625
106,La Rochelle,2023-04-18,10.965,9.185,77.25
107,La Rochelle,2023-04-19,8.293333333333333,4.543333333333333,78.66666666666667
108,Larbont,2023-04-14,5.496,2.5620000000000003,84.0
109,Larbont,2023-04-15,4.04125,0.59125,86.125
110,Larbont,2023-04-16,4.17125,2.32125,74.375
111,Larbont,2023-04-17,4.76625,3.30375,68.875
112,Larbont,2023-04-18,5.32375,3.92375,66.375
113,Larbont,2023-04-19,3.3866666666666667,2.0933333333333333,79.66666666666667
114,Larrey,2023-04-14,6.748,4.088,84.0
115,Larrey,2023-04-15,7.0912500000000005,5.35125,96.625
116,Larrey,2023-04-16,7.49625,5.675,81.375
117,Larrey,2023-04-17,7.898750000000001,6.02625,86.5
118,Larrey,2023-04-18,7.8475,5.6925,80.875
119,Larrey,2023-04-19,5.056666666666667,2.3733333333333335,89.33333333333333
120,Le Havre,2023-04-14,7.386,3.332,89.6
121,Le Havre,2023-04-15,8.9575,5.89875,85.125
122,Le Havre,2023-04-16,9.445,8.70375,79.625
123,Le Havre,2023-04-17,10.213750000000001,9.03625,78.75
124,Le Havre,2023-04-18,9.97875,7.935,68.375
125,Le Havre,2023-04-19,7.913333333333334,4.07,79.0
126,Le Limpou,2023-04-14,12.638,12.203999999999999,86.0
127,Le Limpou,2023-04-15,12.19125,11.65,80.375
128,Le Limpou,2023-04-16,10.70875,9.955,77.0
129,Le Limpou,2023-04-17,11.735,11.1,73.75
130,Le Limpou,2023-04-18,10.9,10.33875,77.375
131,Le Limpou,2023-04-19,10.17,9.606666666666667,80.0
132,Lille,2023-04-14,9.59,7.804,66.6
133,Lille,2023-04-15,9.57,7.8375,74.75
134,Lille,2023-04-16,8.52125,6.5725,79.625
135,Lille,2023-04-17,9.71875,8.27375,73.625
136,Lille,2023-04-18,9.16375,6.6425,62.125
137,Lille,2023-04-19,7.076666666666667,3.9899999999999998,77.33333333333333
138,Marseille,2023-04-14,12.214,11.25,67.4
139,Marseille,2023-04-15,12.59125,11.6,64.875
140,Marseille,2023-04-16,14.195,12.805,52.75
141,Marseille,2023-04-17,14.89875,13.765,50.5
142,Marseille,2023-04-18,13.92375,12.94375,60.25
143,Marseille,2023-04-19,12.0,11.04,68.33333333333333
144,Montauban,2023-04-14,10.848,9.406,89.0
145,Montauban,2023-04-15,11.1475,9.4275,76.5
146,Montauban,2023-04-16,9.575,7.90375,80.375
147,Montauban,2023-04-17,10.2975,9.026250000000001,69.25
148,Montauban,2023-04-18,10.545,10.08,70.625
149,Montauban,2023-04-19,8.026666666666667,6.9366666666666665,83.0
150,Nîmes,2023-04-14,10.742,9.943999999999999,69.8
151,Nîmes,2023-04-15,12.41375,11.21875,58.25
152,Nîmes,2023-04-16,13.76875,12.36125,44.5
153,Nîmes,2023-04-17,13.1075,11.748750000000001,54.375
154,Nîmes,2023-04-18,13.1725,12.27125,65.0
155,Nîmes,2023-04-19,8.496666666666666,7.6433333333333335,84.0
156,Paris,2023-04-14,7.587999999999999,5.192,83.0
157,Paris,2023-04-15,8.7325,7.38,84.125
158,Paris,2023-04-16,10.2825,8.9875,63.875
159,Paris,2023-04-17,10.76625,9.51625,64.875
160,Paris,2023-04-18,10.75625,8.91625,58.625
161,Paris,2023-04-19,7.53,4.773333333333333,69.66666666666667
162,Rouen,2023-04-14,6.6,3.038,92.2
163,Rouen,2023-04-15,8.34875,6.04875,90.0
164,Rouen,2023-04-16,8.2825,6.99125,82.875
165,Rouen,2023-04-17,9.38125,8.065,77.0
166,Rouen,2023-04-18,9.29125,6.72,69.25
167,Rouen,2023-04-19,6.726666666666667,3.1466666666666665,84.33333333333333
168,Saint-Hippolyte,2023-04-14,6.24,5.086,57.4
169,Saint-Hippolyte,2023-04-15,6.001250000000001,5.18875,66.25
170,Saint-Hippolyte,2023-04-16,4.92375,4.03875,90.125
171,Saint-Hippolyte,2023-04-17,5.890000000000001,4.0125,87.625
172,Saint-Hippolyte,2023-04-18,4.7675,1.7850000000000001,81.625
173,Saint-Hippolyte,2023-04-19,3.6799999999999997,0.9266666666666667,89.66666666666667
174,Saintes-Maries-de-la-Mer,2023-04-14,11.98,11.122,72.4
175,Saintes-Maries-de-la-Mer,2023-04-15,13.83125,12.74875,56.625
176,Saintes-Maries-de-la-Mer,2023-04-16,14.1325,12.95,51.625
177,Saintes-Maries-de-la-Mer,2023-04-17,13.94,12.93375,59.125
178,Saintes-Maries-de-la-Mer,2023-04-18,12.6075,11.71875,68.75
179,Saintes-Maries-de-la-Mer,2023-04-19,10.446666666666667,9.62,79.33333333333333
180,St-Malo,2023-04-14,9.986,7.694,88.2
181,St-Malo,2023-04-15,9.6375,7.64625,76.625
182,St-Malo,2023-04-16,10.19875,9.19875,77.5
183,St-Malo,2023-04-17,10.59,9.62125,86.375
184,St-Malo,2023-04-18,9.85875,7.49,77.5
185,St-Malo,2023-04-19,7.726666666666667,3.5,75.33333333333333
186,Strasbourg,2023-04-14,9.562000000000001,8.59,59.6
187,Strasbourg,2023-04-15,8.89875,7.95,68.5
188,Strasbourg,2023-04-16,8.561250000000001,7.145,89.0
189,Strasbourg,2023-04-17,9.4725,8.10375,82.75
190,Strasbourg,2023-04-18,8.47,6.09,73.25
191,Strasbourg,2023-04-19,7.326666666666667,4.44,81.33333333333333
192,Toulouse,2023-04-14,11.238,9.703999999999999,84.8
193,Toulouse,2023-04-15,10.97875,8.85,78.25
194,Toulouse,2023-04-16,9.86,7.92875,76.0
195,Toulouse,2023-04-17,10.4175,8.96875,69.375
196,Toulouse,2023-04-18,10.80875,9.9625,68.25
197,Toulouse,2023-04-19,9.206666666666665,7.736666666666667,79.0
198,Uzès,2023-04-14,10.802,9.924,69.6
199,Uzès,2023-04-15,11.86875,10.1525,57.625
200,Uzès,2023-04-16,12.6025,11.09625,54.5
201,Uzès,2023-04-17,13.1,11.605,54.375
202,Uzès,2023-04-18,12.50875,11.0275,65.375
203,Uzès,2023-04-19,8.733333333333334,7.32,79.0
204,Vieux Lyon,2023-04-14,8.902,7.598000000000001,80.0
205,Vieux Lyon,2023-04-15,7.907500000000001,5.57125,91.75
206,Vieux Lyon,2023-04-16,9.37375,7.755,76.375
207,Vieux Lyon,2023-04-17,9.60125,7.87375,79.375
208,Vieux Lyon,2023-04-18,8.64125,7.38,80.375
209,Vieux Lyon,2023-04-19,8.243333333333334,8.243333333333334,78.33333333333333
